  3366: E[0:01:07]-R[0:02:12]: Return=     0.995, Steps=   6, Features = 16
  3418: E[0:01:08]-R[0:02:11]: Return=    -1.005, Steps=   6, Features = 16
  3474: E[0:01:09]-R[0:02:10]: Return=     0.995, Steps=   6, Features = 16
  3528: E[0:01:10]-R[0:02:09]: Return=     0.991, Steps=  10, Features = 16
  3576: E[0:01:12]-R[0:02:09]: Return=     0.993, Steps=   8, Features = 16
  3618: E[0:01:13]-R[0:02:08]: Return=     0.993, Steps=   8, Features = 16
  3670: E[0:01:14]-R[0:02:07]: Return=     0.991, Steps=  10, Features = 16
  3720: E[0:01:15]-R[0:02:07]: Return=     0.993, Steps=   8, Features = 16
  3770: E[0:01:16]-R[0:02:06]: Return=     0.991, Steps=  10, Features = 16
  3816: E[0:01:17]-R[0:02:05]: Return=     0.993, Steps=   8, Features = 16
  3868: E[0:01:18]-R[0:02:04]: Return=     0.995, Steps=   6, Features = 16
  3908: E[0:01:19]-R[0:02:03]: Return=     0.989, Steps=  12, Features = 16
  3962: E[0:01:20]-R[0:02:02]: Return=     0.991, Steps=  10, Features = 16
  4000: >>> E[0:01:21]-R[0:02:02]: Return=    0.6535, Steps=7.54, Features = 16
  4092: E[0:01:22]-R[0:01:59]: Return=     0.991, Steps=  10, Features = 16
  4144: E[0:01:23]-R[0:01:58]: Return=     0.995, Steps=   6, Features = 16
  4200: E[0:01:24]-R[0:01:56]: Return=    -1.001, Steps=   2, Features = 16
  4250: E[0:01:25]-R[0:01:55]: Return=     0.991, Steps=  10, Features = 16
  4300: E[0:01:26]-R[0:01:55]: Return=     0.987, Steps=  14, Features = 16
  4356: E[0:01:27]-R[0:01:53]: Return=     0.995, Steps=   6, Features = 16
  4404: E[0:01:28]-R[0:01:52]: Return=     0.995, Steps=   6, Features = 16
  4456: E[0:01:30]-R[0:01:51]: Return=    -1.005, Steps=   6, Features = 16
  4516: E[0:01:31]-R[0:01:50]: Return=     0.993, Steps=   8, Features = 16
  4576: E[0:01:32]-R[0:01:49]: Return=     0.995, Steps=   6, Features = 16
  4634: E[0:01:33]-R[0:01:48]: Return=     0.989, Steps=  12, Features = 16
  4710: E[0:01:34]-R[0:01:46]: Return=     0.983, Steps=  18, Features = 16
  4798: E[0:01:35]-R[0:01:43]: Return=     0.983, Steps=  18, Features = 16
  4878: E[0:01:36]-R[0:01:41]: Return=     0.989, Steps=  12, Features = 16
  4962: E[0:01:37]-R[0:01:39]: Return=     0.989, Steps=  12, Features = 16
  5000: >>> E[0:01:38]-R[0:01:38]: Return=    0.7137, Steps=7.34, Features = 16
  5090: E[0:01:39]-R[0:01:35]: Return=     0.995, Steps=   6, Features = 16
  5180: E[0:01:40]-R[0:01:33]: Return=     0.995, Steps=   6, Features = 16
  5264: E[0:01:41]-R[0:01:31]: Return=     0.989, Steps=  12, Features = 16
  5356: E[0:01:42]-R[0:01:28]: Return=     0.993, Steps=   8, Features = 16
  5448: E[0:01:43]-R[0:01:26]: Return=     0.993, Steps=   8, Features = 16
  5550: E[0:01:44]-R[0:01:23]: Return=     0.991, Steps=  10, Features = 16
  5642: E[0:01:45]-R[0:01:21]: Return=     0.989, Steps=  12, Features = 16
  5728: E[0:01:46]-R[0:01:19]: Return=     0.991, Steps=  10, Features = 16
  5832: E[0:01:47]-R[0:01:17]: Return=     0.993, Steps=   8, Features = 16
  5928: E[0:01:48]-R[0:01:14]: Return=     0.985, Steps=  16, Features = 16
  6000: >>> E[0:01:49]-R[0:01:13]: Return=    0.6529, Steps=8.14, Features = 16
  6094: E[0:01:50]-R[0:01:11]: Return=     0.993, Steps=   8, Features = 16
  6190: E[0:01:51]-R[0:01:08]: Return=     0.993, Steps=   8, Features = 16
  6302: E[0:01:52]-R[0:01:06]: Return=     0.989, Steps=  12, Features = 16
  6398: E[0:01:53]-R[0:01:04]: Return=     0.973, Steps=  28, Features = 16
  6488: E[0:01:55]-R[0:01:02]: Return=     0.991, Steps=  10, Features = 16
  6578: E[0:01:56]-R[0:01:00]: Return=     0.995, Steps=   6, Features = 16
  6668: E[0:01:57]-R[0:00:58]: Return=     0.993, Steps=   8, Features = 16
  6758: E[0:01:58]-R[0:00:56]: Return=     0.995, Steps=   6, Features = 16
  6848: E[0:01:59]-R[0:00:55]: Return=     0.995, Steps=   6, Features = 16
  6942: E[0:02:00]-R[0:00:53]: Return=     0.993, Steps=   8, Features = 16
  7000: >>> E[0:02:00]-R[0:00:52]: Return=    0.5736, Steps=7.36, Features = 16
  7092: E[0:02:01]-R[0:00:50]: Return=     0.991, Steps=  10, Features = 16
  7166: E[0:02:03]-R[0:00:48]: Return=     0.989, Steps=  12, Features = 16
  7226: E[0:02:04]-R[0:00:47]: Return=     0.991, Steps=  10, Features = 16
  7278: E[0:02:05]-R[0:00:47]: Return=     0.995, Steps=   6, Features = 16
  7328: E[0:02:06]-R[0:00:46]: Return=     0.989, Steps=  12, Features = 16
  7386: E[0:02:07]-R[0:00:45]: Return=     0.993, Steps=   8, Features = 16
  7436: E[0:02:08]-R[0:00:44]: Return=     0.995, Steps=   6, Features = 16
  7528: E[0:02:09]-R[0:00:42]: Return=     0.993, Steps=   8, Features = 16
  7612: E[0:02:10]-R[0:00:41]: Return=    -1.003, Steps=   4, Features = 16
  7706: E[0:02:11]-R[0:00:39]: Return=     0.993, Steps=   8, Features = 16
  7800: E[0:02:12]-R[0:00:37]: Return=     0.989, Steps=  12, Features = 16
  7888: E[0:02:13]-R[0:00:36]: Return=     0.993, Steps=   8, Features = 16
