     0: >>> E[0:00:00]-R[?]: Return=    -1.003, Steps=3.61, Features = 100
 23840: E[0:10:05]-R[0:32:12]: Return=    -1.042, Steps=  43, Features = 100
 23976: E[0:10:08]-R[0:32:08]: Return=      -1.1, Steps= 101, Features = 100
 24065: E[0:10:10]-R[0:32:05]: Return=    -1.069, Steps=  70, Features = 100
 24106: E[0:10:11]-R[0:32:04]: Return=    -1.018, Steps=  19, Features = 100
 24160: E[0:10:13]-R[0:32:03]: Return=    -1.053, Steps=  54, Features = 100
 24219: E[0:10:14]-R[0:32:01]: Return=    -1.055, Steps=  56, Features = 100
 24309: E[0:10:16]-R[0:31:59]: Return=    -1.072, Steps=  73, Features = 100
 24419: E[0:10:19]-R[0:31:55]: Return=    -1.072, Steps=  73, Features = 100
 24479: E[0:10:20]-R[0:31:54]: Return=    -1.033, Steps=  34, Features = 100
 24529: E[0:10:22]-R[0:31:52]: Return=    -1.049, Steps=  50, Features = 100
 24574: E[0:10:23]-R[0:31:51]: Return=    -1.006, Steps=   7, Features = 100
 24787: E[0:10:28]-R[0:31:46]: Return=    -1.211, Steps= 212, Features = 100
 24831: E[0:10:29]-R[0:31:45]: Return=    -1.043, Steps=  44, Features = 100
 24907: E[0:10:31]-R[0:31:43]: Return=    -1.063, Steps=  64, Features = 100
 25099: E[0:10:36]-R[0:31:39]: Return=    -1.182, Steps= 183, Features = 100
 25210: E[0:10:40]-R[0:31:38]: Return=    -1.093, Steps=  94, Features = 100
 25269: E[0:10:41]-R[0:31:37]: Return=    -1.058, Steps=  59, Features = 100
 25361: E[0:10:44]-R[0:31:35]: Return=    -1.063, Steps=  64, Features = 100
 25397: E[0:10:45]-R[0:31:35]: Return=    -1.032, Steps=  33, Features = 100
 25584: E[0:10:50]-R[0:31:30]: Return=    -1.185, Steps= 186, Features = 100
 25630: E[0:10:51]-R[0:31:29]: Return=    -1.045, Steps=  46, Features = 100
 25735: E[0:10:54]-R[0:31:27]: Return=    -1.104, Steps= 105, Features = 100
 25842: E[0:10:57]-R[0:31:25]: Return=    -1.099, Steps= 100, Features = 100
 25974: E[0:11:00]-R[0:31:21]: Return=    -1.111, Steps= 112, Features = 100
 26060: E[0:11:02]-R[0:31:19]: Return=    -1.063, Steps=  64, Features = 100
 26144: E[0:11:05]-R[0:31:18]: Return=    -1.077, Steps=  78, Features = 100
 26192: E[0:11:06]-R[0:31:16]: Return=    -1.018, Steps=  19, Features = 100
 26289: E[0:11:09]-R[0:31:15]: Return=    -1.091, Steps=  92, Features = 100
 26437: E[0:11:12]-R[0:31:11]: Return=    -1.138, Steps= 139, Features = 100
 26478: E[0:11:13]-R[0:31:10]: Return=    -1.037, Steps=  38, Features = 100
 26509: E[0:11:14]-R[0:31:09]: Return=        -1, Steps=   1, Features = 100
 26553: E[0:11:16]-R[0:31:09]: Return=    -1.015, Steps=  16, Features = 100
 26621: E[0:11:17]-R[0:31:07]: Return=    -1.067, Steps=  68, Features = 100
 26708: E[0:11:20]-R[0:31:05]: Return=    -1.083, Steps=  84, Features = 100
 26764: E[0:11:21]-R[0:31:03]: Return=    -1.024, Steps=  25, Features = 100
 26837: E[0:11:23]-R[0:31:01]: Return=    -1.066, Steps=  67, Features = 100
 26876: E[0:11:24]-R[0:31:00]: Return=    -1.029, Steps=  30, Features = 100
 26935: E[0:11:25]-R[0:30:59]: Return=    -1.024, Steps=  25, Features = 100
 26971: E[0:11:26]-R[0:30:58]: Return=    -1.004, Steps=   5, Features = 100
 27098: E[0:11:29]-R[0:30:55]: Return=    -1.125, Steps= 126, Features = 100
 27194: E[0:11:32]-R[0:30:53]: Return=    -1.062, Steps=  63, Features = 100
 27242: E[0:11:33]-R[0:30:52]: Return=     -1.04, Steps=  41, Features = 100
 27449: E[0:11:39]-R[0:30:47]: Return=    -1.184, Steps= 185, Features = 100
 27488: E[0:11:40]-R[0:30:46]: Return=    -1.008, Steps=   9, Features = 100
 27545: E[0:11:41]-R[0:30:44]: Return=    -1.031, Steps=  32, Features = 100
 27663: E[0:11:44]-R[0:30:42]: Return=    -1.117, Steps= 118, Features = 100
 27793: E[0:11:47]-R[0:30:38]: Return=    -1.101, Steps= 102, Features = 100
 27922: E[0:11:50]-R[0:30:34]: Return=    -1.125, Steps= 126, Features = 100
 27965: E[0:11:52]-R[0:30:33]: Return=    -1.017, Steps=  18, Features = 100
 28155: E[0:11:56]-R[0:30:27]: Return=    -1.189, Steps= 190, Features = 100
 28219: E[0:11:58]-R[0:30:25]: Return=    -1.063, Steps=  64, Features = 100
 28274: E[0:11:59]-R[0:30:24]: Return=    -1.022, Steps=  23, Features = 100
 28516: E[0:12:05]-R[0:30:16]: Return=    -1.241, Steps= 242, Features = 100
 28871: E[0:12:13]-R[0:30:06]: Return=    -1.354, Steps= 355, Features = 100
 28917: E[0:12:14]-R[0:30:04]: Return=    -1.045, Steps=  46, Features = 100
 28962: E[0:12:15]-R[0:30:03]: Return=    -1.006, Steps=   7, Features = 100
 29085: E[0:12:18]-R[0:29:59]: Return=    -1.122, Steps= 123, Features = 100
 29134: E[0:12:19]-R[0:29:58]: Return=    -1.048, Steps=  49, Features = 100
 29225: E[0:12:22]-R[0:29:56]: Return=    -1.079, Steps=  80, Features = 100
 29366: E[0:12:25]-R[0:29:52]: Return=    -1.136, Steps= 137, Features = 100
 29415: E[0:12:26]-R[0:29:51]: Return=    -1.048, Steps=  49, Features = 100
 29643: E[0:12:32]-R[0:29:44]: Return=    -1.227, Steps= 228, Features = 100
 29745: E[0:12:34]-R[0:29:42]: Return=    -1.067, Steps=  68, Features = 100
 29891: E[0:12:38]-R[0:29:37]: Return=    -1.145, Steps= 146, Features = 100
 30000: >>> E[0:12:40]-R[0:29:34]: Return=    -1.035, Steps=76.47, Features = 100
 30165: E[0:12:44]-R[0:29:29]: Return=    -1.273, Steps= 274, Features = 100
 30456: E[0:12:51]-R[0:29:21]: Return=     -1.29, Steps= 291, Features = 100
 30548: E[0:12:53]-R[0:29:19]: Return=     0.939, Steps=  62, Features = 100
 30596: E[0:12:55]-R[0:29:17]: Return=    -1.008, Steps=   9, Features = 100
 30640: E[0:12:56]-R[0:29:16]: Return=    -1.004, Steps=   5, Features = 100
 30708: E[0:12:58]-R[0:29:15]: Return=    -1.039, Steps=  40, Features = 100
 30787: E[0:13:00]-R[0:29:12]: Return=    -1.047, Steps=  48, Features = 100
 30846: E[0:13:01]-R[0:29:11]: Return=    -1.058, Steps=  59, Features = 100
 30980: E[0:13:04]-R[0:29:07]: Return=    -1.122, Steps= 123, Features = 100
 31074: E[0:13:07]-R[0:29:05]: Return=    -1.086, Steps=  87, Features = 100
 31241: E[0:13:11]-R[0:29:00]: Return=    -1.159, Steps= 160, Features = 100
 31303: E[0:13:12]-R[0:28:59]: Return=     -1.06, Steps=  61, Features = 100
 31387: E[0:13:14]-R[0:28:56]: Return=    -1.083, Steps=  84, Features = 100
 31565: E[0:13:19]-R[0:28:51]: Return=    -1.177, Steps= 178, Features = 100
 31675: E[0:13:21]-R[0:28:48]: Return=    -1.109, Steps= 110, Features = 100
 31738: E[0:13:23]-R[0:28:46]: Return=    -1.062, Steps=  63, Features = 100
 31783: E[0:13:24]-R[0:28:45]: Return=    -1.006, Steps=   7, Features = 100
 31857: E[0:13:26]-R[0:28:43]: Return=    -1.073, Steps=  74, Features = 100
 31892: E[0:13:27]-R[0:28:43]: Return=        -1, Steps=   1, Features = 100
 31951: E[0:13:28]-R[0:28:41]: Return=    -1.049, Steps=  50, Features = 100
 32085: E[0:13:32]-R[0:28:38]: Return=    -1.111, Steps= 112, Features = 100
 32212: E[0:13:35]-R[0:28:35]: Return=     -1.11, Steps= 111, Features = 100
 32258: E[0:13:36]-R[0:28:35]: Return=     -1.04, Steps=  41, Features = 100
 32345: E[0:13:39]-R[0:28:32]: Return=     -1.08, Steps=  81, Features = 100
 32439: E[0:13:41]-R[0:28:30]: Return=    -1.078, Steps=  79, Features = 100
 32489: E[0:13:43]-R[0:28:29]: Return=    -1.048, Steps=  49, Features = 100
 32532: E[0:13:44]-R[0:28:28]: Return=    -1.018, Steps=  19, Features = 100
 32699: E[0:13:48]-R[0:28:24]: Return=    -1.162, Steps= 163, Features = 100
 32758: E[0:13:49]-R[0:28:22]: Return=    -1.042, Steps=  43, Features = 100
 32799: E[0:13:50]-R[0:28:21]: Return=    -1.028, Steps=  29, Features = 100
 32844: E[0:13:52]-R[0:28:20]: Return=    -1.016, Steps=  17, Features = 100
 32901: E[0:13:53]-R[0:28:19]: Return=    -1.056, Steps=  57, Features = 100
 32940: E[0:13:54]-R[0:28:18]: Return=    -1.038, Steps=  39, Features = 100
 32978: E[0:13:55]-R[0:28:18]: Return=    -1.012, Steps=  13, Features = 100
 33045: E[0:13:57]-R[0:28:16]: Return=    -1.066, Steps=  67, Features = 100
 33191: E[0:14:01]-R[0:28:12]: Return=    -1.127, Steps= 128, Features = 100
 33252: E[0:14:02]-R[0:28:11]: Return=     -1.06, Steps=  61, Features = 100
 33331: E[0:14:04]-R[0:28:09]: Return=    -1.063, Steps=  64, Features = 100
 33464: E[0:14:08]-R[0:28:06]: Return=    -1.121, Steps= 122, Features = 100
 33563: E[0:14:11]-R[0:28:04]: Return=    -1.098, Steps=  99, Features = 100
 33603: E[0:14:12]-R[0:28:03]: Return=    -1.039, Steps=  40, Features = 100
 33644: E[0:14:13]-R[0:28:02]: Return=     -1.04, Steps=  41, Features = 100
 33741: E[0:14:15]-R[0:27:59]: Return=    -1.078, Steps=  79, Features = 100
 33906: E[0:14:19]-R[0:27:55]: Return=    -1.147, Steps= 148, Features = 100
 33965: E[0:14:21]-R[0:27:53]: Return=    -1.038, Steps=  39, Features = 100
 34186: E[0:14:26]-R[0:27:47]: Return=     -1.19, Steps= 191, Features = 100
 34221: E[0:14:27]-R[0:27:47]: Return=    -1.019, Steps=  20, Features = 100
 34446: E[0:14:33]-R[0:27:41]: Return=     -1.19, Steps= 191, Features = 100
 34539: E[0:14:35]-R[0:27:39]: Return=    -1.089, Steps=  90, Features = 100
 34579: E[0:14:37]-R[0:27:38]: Return=    -1.016, Steps=  17, Features = 100
 34646: E[0:14:38]-R[0:27:37]: Return=    -1.049, Steps=  50, Features = 100
 34686: E[0:14:39]-R[0:27:36]: Return=    -1.024, Steps=  25, Features = 100
 34755: E[0:14:41]-R[0:27:34]: Return=    -1.068, Steps=  69, Features = 100
 34915: E[0:14:45]-R[0:27:31]: Return=    -1.146, Steps= 147, Features = 100
 34956: E[0:14:47]-R[0:27:30]: Return=     -1.04, Steps=  41, Features = 100
 35047: E[0:14:49]-R[0:27:28]: Return=    -1.088, Steps=  89, Features = 100
 35214: E[0:14:54]-R[0:27:24]: Return=    -1.156, Steps= 157, Features = 100
 35460: E[0:15:00]-R[0:27:19]: Return=    -1.229, Steps= 230, Features = 100
 35511: E[0:15:02]-R[0:27:18]: Return=    -1.045, Steps=  46, Features = 100
 35654: E[0:15:06]-R[0:27:15]: Return=    -1.118, Steps= 119, Features = 100
 35722: E[0:15:08]-R[0:27:14]: Return=    -1.038, Steps=  39, Features = 100
 35760: E[0:15:09]-R[0:27:13]: Return=    -1.036, Steps=  37, Features = 100
 35971: E[0:15:15]-R[0:27:08]: Return=    -1.205, Steps= 206, Features = 100
 36041: E[0:15:17]-R[0:27:07]: Return=    -1.069, Steps=  70, Features = 100
 36246: E[0:15:23]-R[0:27:03]: Return=    -1.199, Steps= 200, Features = 100
 36329: E[0:15:25]-R[0:27:01]: Return=    -1.063, Steps=  64, Features = 100
 36414: E[0:15:27]-R[0:26:59]: Return=    -1.084, Steps=  85, Features = 100
 36634: E[0:15:33]-R[0:26:54]: Return=    -1.205, Steps= 206, Features = 100
 36672: E[0:15:34]-R[0:26:53]: Return=    -1.006, Steps=   7, Features = 100
 37066: E[0:15:44]-R[0:26:43]: Return=    -1.366, Steps= 367, Features = 100
 37152: E[0:15:46]-R[0:26:41]: Return=    -1.069, Steps=  70, Features = 100
 37199: E[0:15:47]-R[0:26:40]: Return=    -1.046, Steps=  47, Features = 100
 37239: E[0:15:49]-R[0:26:39]: Return=    -1.016, Steps=  17, Features = 100
 37299: E[0:15:50]-R[0:26:37]: Return=    -1.037, Steps=  38, Features = 100
 37334: E[0:15:51]-R[0:26:37]: Return=    -1.003, Steps=   4, Features = 100
 37371: E[0:15:52]-R[0:26:36]: Return=     -1.01, Steps=  11, Features = 100
 37421: E[0:15:54]-R[0:26:35]: Return=    -1.012, Steps=  13, Features = 100
 37490: E[0:15:55]-R[0:26:33]: Return=    -1.039, Steps=  40, Features = 100
 37578: E[0:15:58]-R[0:26:31]: Return=    -1.066, Steps=  67, Features = 100
 37653: E[0:16:00]-R[0:26:30]: Return=    -1.074, Steps=  75, Features = 100
 37738: E[0:16:03]-R[0:26:28]: Return=    -1.084, Steps=  85, Features = 100
 37776: E[0:16:04]-R[0:26:27]: Return=    -1.026, Steps=  27, Features = 100
 37879: E[0:16:07]-R[0:26:25]: Return=    -1.102, Steps= 103, Features = 100
 37910: E[0:16:08]-R[0:26:25]: Return=     -1.03, Steps=  31, Features = 100
 37980: E[0:16:10]-R[0:26:24]: Return=    -1.068, Steps=  69, Features = 100
 38049: E[0:16:12]-R[0:26:23]: Return=    -1.068, Steps=  69, Features = 100
 38094: E[0:16:13]-R[0:26:22]: Return=    -1.044, Steps=  45, Features = 100
 38147: E[0:16:15]-R[0:26:20]: Return=    -1.027, Steps=  28, Features = 100
 38256: E[0:16:18]-R[0:26:18]: Return=    -1.081, Steps=  82, Features = 100
 38321: E[0:16:20]-R[0:26:17]: Return=     0.939, Steps=  62, Features = 100
 38366: E[0:16:21]-R[0:26:16]: Return=    -1.043, Steps=  44, Features = 100
 38410: E[0:16:22]-R[0:26:15]: Return=    -1.042, Steps=  43, Features = 100
 38462: E[0:16:23]-R[0:26:13]: Return=    -1.027, Steps=  28, Features = 100
 38534: E[0:16:25]-R[0:26:11]: Return=    -1.071, Steps=  72, Features = 100
 38598: E[0:16:27]-R[0:26:10]: Return=    -1.046, Steps=  47, Features = 100
 38641: E[0:16:28]-R[0:26:09]: Return=    -1.018, Steps=  19, Features = 100
 38690: E[0:16:29]-R[0:26:07]: Return=    -1.022, Steps=  23, Features = 100
 38767: E[0:16:31]-R[0:26:06]: Return=    -1.072, Steps=  73, Features = 100
 38927: E[0:16:35]-R[0:26:02]: Return=    -1.134, Steps= 135, Features = 100
 38997: E[0:16:37]-R[0:26:00]: Return=    -1.068, Steps=  69, Features = 100
 39069: E[0:16:39]-R[0:25:59]: Return=    -1.039, Steps=  40, Features = 100
 39146: E[0:16:41]-R[0:25:57]: Return=    -1.051, Steps=  52, Features = 100
 39205: E[0:16:43]-R[0:25:55]: Return=    -1.034, Steps=  35, Features = 100
 39255: E[0:16:44]-R[0:25:54]: Return=    -1.049, Steps=  50, Features = 100
 39624: E[0:16:53]-R[0:25:44]: Return=    -1.367, Steps= 368, Features = 100
 39674: E[0:16:54]-R[0:25:42]: Return=    -1.049, Steps=  50, Features = 100
 39769: E[0:16:57]-R[0:25:40]: Return=    -1.094, Steps=  95, Features = 100
 39829: E[0:16:58]-R[0:25:38]: Return=     -1.05, Steps=  51, Features = 100
 39914: E[0:17:00]-R[0:25:36]: Return=    -1.084, Steps=  85, Features = 100
 40000: >>> E[0:17:03]-R[0:25:34]: Return=    -1.055, Steps=56.3, Features = 100
 40059: E[0:17:04]-R[0:25:32]: Return=    -1.112, Steps= 113, Features = 100
 40106: E[0:17:05]-R[0:25:31]: Return=    -1.046, Steps=  47, Features = 100
 40173: E[0:17:07]-R[0:25:29]: Return=    -1.066, Steps=  67, Features = 100
 40237: E[0:17:08]-R[0:25:27]: Return=     0.937, Steps=  64, Features = 100
 40346: E[0:17:11]-R[0:25:24]: Return=    -1.104, Steps= 105, Features = 100
 40480: E[0:17:14]-R[0:25:21]: Return=    -1.103, Steps= 104, Features = 100
 40584: E[0:17:17]-R[0:25:18]: Return=     -1.07, Steps=  71, Features = 100
 40626: E[0:17:18]-R[0:25:17]: Return=    -1.041, Steps=  42, Features = 100
 40737: E[0:17:21]-R[0:25:14]: Return=    -1.073, Steps=  74, Features = 100
 40779: E[0:17:22]-R[0:25:13]: Return=    -1.016, Steps=  17, Features = 100
 40826: E[0:17:23]-R[0:25:11]: Return=    -1.046, Steps=  47, Features = 100
 40984: E[0:17:27]-R[0:25:07]: Return=    -1.157, Steps= 158, Features = 100
 41154: E[0:17:31]-R[0:25:02]: Return=     0.861, Steps= 140, Features = 100
 41202: E[0:17:32]-R[0:25:01]: Return=    -1.031, Steps=  32, Features = 100
 41346: E[0:17:35]-R[0:24:57]: Return=    -1.139, Steps= 140, Features = 100
 41496: E[0:17:39]-R[0:24:53]: Return=    -1.116, Steps= 117, Features = 100
 41553: E[0:17:40]-R[0:24:52]: Return=    -1.056, Steps=  57, Features = 100
 41636: E[0:17:43]-R[0:24:49]: Return=    -1.081, Steps=  82, Features = 100
 41795: E[0:17:47]-R[0:24:45]: Return=    -1.127, Steps= 128, Features = 100
 41872: E[0:17:48]-R[0:24:43]: Return=    -1.076, Steps=  77, Features = 100
 41921: E[0:17:50]-R[0:24:42]: Return=    -1.048, Steps=  49, Features = 100
 42057: E[0:17:53]-R[0:24:38]: Return=    -1.135, Steps= 136, Features = 100
 42220: E[0:17:57]-R[0:24:33]: Return=     0.871, Steps= 130, Features = 100
 42272: E[0:17:58]-R[0:24:32]: Return=    -1.027, Steps=  28, Features = 100
 42406: E[0:18:01]-R[0:24:28]: Return=    -1.116, Steps= 117, Features = 100
 42576: E[0:18:05]-R[0:24:24]: Return=    -1.169, Steps= 170, Features = 100
 42628: E[0:18:07]-R[0:24:23]: Return=    -1.024, Steps=  25, Features = 100
 42844: E[0:18:12]-R[0:24:17]: Return=    -1.194, Steps= 195, Features = 100
 42905: E[0:18:13]-R[0:24:15]: Return=     -1.06, Steps=  61, Features = 100
 42952: E[0:18:15]-R[0:24:14]: Return=     -1.03, Steps=  31, Features = 100
 43072: E[0:18:17]-R[0:24:10]: Return=    -1.119, Steps= 120, Features = 100
 43123: E[0:18:19]-R[0:24:09]: Return=     -1.05, Steps=  51, Features = 100
 43352: E[0:18:24]-R[0:24:03]: Return=    -1.208, Steps= 209, Features = 100
 43425: E[0:18:26]-R[0:24:01]: Return=    -1.051, Steps=  52, Features = 100
 43533: E[0:18:29]-R[0:23:58]: Return=    -1.107, Steps= 108, Features = 100
 43589: E[0:18:30]-R[0:23:56]: Return=    -1.055, Steps=  56, Features = 100
 43674: E[0:18:32]-R[0:23:54]: Return=    -1.063, Steps=  64, Features = 100
 43750: E[0:18:34]-R[0:23:52]: Return=    -1.075, Steps=  76, Features = 100
 43791: E[0:18:35]-R[0:23:51]: Return=    -1.025, Steps=  26, Features = 100
 43855: E[0:18:36]-R[0:23:49]: Return=    -1.062, Steps=  63, Features = 100
 43918: E[0:18:38]-R[0:23:48]: Return=     -1.03, Steps=  31, Features = 100
 44016: E[0:18:40]-R[0:23:45]: Return=    -1.096, Steps=  97, Features = 100
 44406: E[0:18:50]-R[0:23:35]: Return=    -1.389, Steps= 390, Features = 100
 44455: E[0:18:51]-R[0:23:33]: Return=    -1.048, Steps=  49, Features = 100
 44514: E[0:18:53]-R[0:23:32]: Return=    -1.038, Steps=  39, Features = 100
 44613: E[0:18:55]-R[0:23:29]: Return=    -1.081, Steps=  82, Features = 100
 44753: E[0:18:58]-R[0:23:25]: Return=    -1.139, Steps= 140, Features = 100
 44846: E[0:19:01]-R[0:23:23]: Return=    -1.092, Steps=  93, Features = 100
 44887: E[0:19:02]-R[0:23:22]: Return=    -1.025, Steps=  26, Features = 100
     0: >>> E[0:00:00]-R[?]: Return=    -1.005, Steps= 5.8, Features = 100
    34: E[0:00:01]-R[0:43:25]: Return=    -1.007, Steps=   8, Features = 100
    81: E[0:00:02]-R[0:45:21]: Return=    -1.014, Steps=  15, Features = 100
   121: E[0:00:03]-R[0:44:27]: Return=    -1.004, Steps=   5, Features = 100
   162: E[0:00:04]-R[0:43:40]: Return=    -1.008, Steps=   9, Features = 100
   206: E[0:00:05]-R[0:43:53]: Return=    -1.008, Steps=   9, Features = 100
   310: E[0:00:08]-R[0:43:07]: Return=    -1.094, Steps=  95, Features = 100
     0: >>> E[0:00:00]-R[?]: Return=    -1.005, Steps= 5.8, Features = 100
    34: E[0:00:01]-R[0:43:39]: Return=    -1.007, Steps=   8, Features = 100
    82: E[0:00:02]-R[0:44:34]: Return=    -1.012, Steps=  13, Features = 100
   138: E[0:00:04]-R[0:42:56]: Return=    -1.055, Steps=  56, Features = 100
   179: E[0:00:05]-R[0:43:07]: Return=    -1.012, Steps=  13, Features = 100
   235: E[0:00:06]-R[0:43:20]: Return=    -1.024, Steps=  25, Features = 100
   278: E[0:00:07]-R[0:43:47]: Return=    -1.007, Steps=   8, Features = 100
   315: E[0:00:08]-R[0:44:07]: Return=    -1.004, Steps=   5, Features = 100
   427: E[0:00:11]-R[0:43:06]: Return=    -1.101, Steps= 102, Features = 100
   470: E[0:00:12]-R[0:43:03]: Return=    -1.021, Steps=  22, Features = 100
   515: E[0:00:13]-R[0:42:55]: Return=    -1.018, Steps=  19, Features = 100
   554: E[0:00:14]-R[0:43:13]: Return=    -1.006, Steps=   7, Features = 100
     0: >>> E[0:00:00]-R[?]: Return=    -1.004, Steps= 5.4, Features = 100
    68: E[0:00:02]-R[0:04:14]: Return=    -1.044, Steps=  45, Features = 100
   169: E[0:00:04]-R[0:04:09]: Return=    -1.062, Steps=  63, Features = 100
   212: E[0:00:05]-R[0:04:08]: Return=    -1.032, Steps=  33, Features = 100
   271: E[0:00:07]-R[0:04:05]: Return=    -1.058, Steps=  59, Features = 100
   314: E[0:00:08]-R[0:04:04]: Return=    -1.018, Steps=  19, Features = 100
   364: E[0:00:09]-R[0:04:02]: Return=    -1.046, Steps=  47, Features = 100
   451: E[0:00:11]-R[0:03:58]: Return=    -1.056, Steps=  57, Features = 100
   616: E[0:00:15]-R[0:03:52]: Return=    -1.126, Steps= 127, Features = 100
   672: E[0:00:17]-R[0:03:52]: Return=     -1.02, Steps=  21, Features = 100
   745: E[0:00:19]-R[0:03:50]: Return=    -1.054, Steps=  55, Features = 100
   834: E[0:00:21]-R[0:03:47]: Return=    -1.088, Steps=  89, Features = 100
  1000: >>> E[0:00:25]-R[0:03:42]: Return=    -1.169, Steps=169.5, Features = 100
  1127: E[0:00:28]-R[0:03:38]: Return=    -1.261, Steps= 262, Features = 100
  1232: E[0:00:30]-R[0:03:36]: Return=    -1.068, Steps=  69, Features = 100
  1331: E[0:00:33]-R[0:03:33]: Return=    -1.097, Steps=  98, Features = 100
  1407: E[0:00:35]-R[0:03:31]: Return=     -1.04, Steps=  41, Features = 100
  1532: E[0:00:38]-R[0:03:28]: Return=     -1.12, Steps= 121, Features = 100
  2000: >>> E[0:00:49]-R[0:03:16]: Return=    -1.076, Steps=76.9, Features = 100
  2047: E[0:00:50]-R[0:03:15]: Return=     -1.48, Steps= 481, Features = 100
  2161: E[0:00:53]-R[0:03:12]: Return=    -1.098, Steps=  99, Features = 100
  2302: E[0:00:56]-R[0:03:08]: Return=     -1.14, Steps= 141, Features = 100
  2376: E[0:00:58]-R[0:03:07]: Return=    -1.042, Steps=  43, Features = 100
  2425: E[0:00:59]-R[0:03:05]: Return=    -1.048, Steps=  49, Features = 100
  2806: E[0:01:09]-R[0:02:56]: Return=     -1.38, Steps= 381, Features = 100
  2922: E[0:01:12]-R[0:02:53]: Return=    -1.096, Steps=  97, Features = 100
  3000: >>> E[0:01:14]-R[0:02:52]: Return=    -1.113, Steps=114.0, Features = 100
  3542: E[0:01:27]-R[0:02:38]: Return=    -1.616, Steps= 617, Features = 100
  3621: E[0:01:29]-R[0:02:36]: Return=    -1.078, Steps=  79, Features = 100
  3682: E[0:01:30]-R[0:02:35]: Return=     -1.06, Steps=  61, Features = 100
  3971: E[0:01:37]-R[0:02:27]: Return=    -1.287, Steps= 288, Features = 100
  4000: >>> E[0:01:38]-R[0:02:27]: Return=    -1.062, Steps=63.1, Features = 100
  4144: E[0:01:41]-R[0:02:23]: Return=    -1.172, Steps= 173, Features = 100
  4304: E[0:01:45]-R[0:02:19]: Return=    -1.158, Steps= 159, Features = 100
  4383: E[0:01:47]-R[0:02:17]: Return=    -1.077, Steps=  78, Features = 100
  4474: E[0:01:49]-R[0:02:15]: Return=     -1.09, Steps=  91, Features = 100
  4570: E[0:01:52]-R[0:02:13]: Return=    -1.056, Steps=  57, Features = 100
  4644: E[0:01:54]-R[0:02:11]: Return=    -1.073, Steps=  74, Features = 100
  4711: E[0:01:55]-R[0:02:09]: Return=    -1.028, Steps=  29, Features = 100
  4860: E[0:01:59]-R[0:02:06]: Return=    -1.148, Steps= 149, Features = 100
  5000: >>> E[0:02:02]-R[0:02:02]: Return=    -1.127, Steps=128.0, Features = 100
  5102: E[0:02:05]-R[0:02:00]: Return=     -1.24, Steps= 241, Features = 100
  5179: E[0:02:07]-R[0:01:58]: Return=    -1.076, Steps=  77, Features = 100
  5278: E[0:02:09]-R[0:01:55]: Return=    -1.098, Steps=  99, Features = 100
  5321: E[0:02:10]-R[0:01:54]: Return=    -1.042, Steps=  43, Features = 100
  5394: E[0:02:12]-R[0:01:53]: Return=    -1.072, Steps=  73, Features = 100
  5553: E[0:02:16]-R[0:01:49]: Return=    -1.158, Steps= 159, Features = 100
  5604: E[0:02:17]-R[0:01:48]: Return=     -1.02, Steps=  21, Features = 100
  5674: E[0:02:19]-R[0:01:46]: Return=     -1.04, Steps=  41, Features = 100
  5715: E[0:02:20]-R[0:01:45]: Return=     -1.04, Steps=  41, Features = 100
  6000: >>> E[0:02:27]-R[0:01:38]: Return=    -1.225, Steps=325.8, Features = 100
  6456: E[0:02:38]-R[0:01:27]: Return=     -1.74, Steps= 741, Features = 100
  6566: E[0:02:40]-R[0:01:24]: Return=    -1.106, Steps= 107, Features = 100
  6607: E[0:02:41]-R[0:01:23]: Return=     -1.04, Steps=  41, Features = 100
  6698: E[0:02:44]-R[0:01:21]: Return=     -1.09, Steps=  91, Features = 100
  6777: E[0:02:46]-R[0:01:19]: Return=    -1.078, Steps=  79, Features = 100
  6964: E[0:02:50]-R[0:01:14]: Return=    -1.186, Steps= 187, Features = 100
  7000: >>> E[0:02:51]-R[0:01:13]: Return=    -1.147, Steps=147.6, Features = 100
  7353: E[0:02:59]-R[0:01:05]: Return=    -1.324, Steps= 325, Features = 100
  7592: E[0:03:05]-R[0:00:59]: Return=    -1.236, Steps= 237, Features = 100
  7647: E[0:03:07]-R[0:00:57]: Return=    -1.054, Steps=  55, Features = 100
  7727: E[0:03:09]-R[0:00:55]: Return=    -1.058, Steps=  59, Features = 100
  7969: E[0:03:14]-R[0:00:50]: Return=    -1.238, Steps= 239, Features = 100
  8000: >>> E[0:03:15]-R[0:00:49]: Return=    -1.133, Steps=733.0, Features = 100
  8161: E[0:03:19]-R[0:00:45]: Return=    -1.124, Steps= 125, Features = 100
  8340: E[0:03:23]-R[0:00:40]: Return=    -1.178, Steps= 179, Features = 100
  8465: E[0:03:26]-R[0:00:37]: Return=    -1.124, Steps= 125, Features = 100
  8562: E[0:03:29]-R[0:00:35]: Return=    -1.095, Steps=  96, Features = 100
  8856: E[0:03:36]-R[0:00:28]: Return=    -1.293, Steps= 294, Features = 100
  9000: >>> E[0:03:39]-R[0:00:24]: Return=    -1.278, Steps=378.9, Features = 100
  9256: E[0:03:45]-R[0:00:18]: Return=     -1.22, Steps= 221, Features = 100
  9432: E[0:03:50]-R[0:00:14]: Return=    -1.174, Steps= 175, Features = 100
  9631: E[0:03:55]-R[0:00:09]: Return=    -1.196, Steps= 197, Features = 100
