  5533: E[0:02:08]-R[0:09:27]: Return=        -1, Steps=   1, Features = 81
  5645: E[0:02:11]-R[0:09:25]: Return=    -1.093, Steps=  94, Features = 81
  5706: E[0:02:12]-R[0:09:23]: Return=    -1.034, Steps=  35, Features = 81
  5748: E[0:02:13]-R[0:09:23]: Return=    -1.036, Steps=  37, Features = 81
  5829: E[0:02:15]-R[0:09:21]: Return=     -1.05, Steps=  51, Features = 81
  5940: E[0:02:18]-R[0:09:18]: Return=    -1.106, Steps= 107, Features = 81
  6000: >>> E[0:02:19]-R[0:09:17]: Return=   -0.9981, Steps=19.07, Features = 81
  6053: E[0:02:20]-R[0:09:15]: Return=    -1.027, Steps=  28, Features = 81
  6149: E[0:02:22]-R[0:09:13]: Return=    -1.095, Steps=  96, Features = 81
  6192: E[0:02:24]-R[0:09:12]: Return=    -1.016, Steps=  17, Features = 81
  6240: E[0:02:25]-R[0:09:11]: Return=     -1.01, Steps=  11, Features = 81
  6283: E[0:02:26]-R[0:09:10]: Return=    -1.023, Steps=  24, Features = 81
  6373: E[0:02:28]-R[0:09:08]: Return=    -1.045, Steps=  46, Features = 81
  6420: E[0:02:29]-R[0:09:07]: Return=    -1.015, Steps=  16, Features = 81
  6616: E[0:02:33]-R[0:09:02]: Return=    -1.168, Steps= 169, Features = 81
  6665: E[0:02:34]-R[0:09:01]: Return=    -1.046, Steps=  47, Features = 81
  6773: E[0:02:37]-R[0:08:58]: Return=    -1.079, Steps=  80, Features = 81
  6930: E[0:02:40]-R[0:08:54]: Return=    -1.155, Steps= 156, Features = 81
  6976: E[0:02:41]-R[0:08:53]: Return=    -1.016, Steps=  17, Features = 81
  7098: E[0:02:44]-R[0:08:50]: Return=    -1.121, Steps= 122, Features = 81
  7326: E[0:02:49]-R[0:08:44]: Return=    -1.227, Steps= 228, Features = 81
  7463: E[0:02:52]-R[0:08:41]: Return=    -1.104, Steps= 105, Features = 81
  7563: E[0:02:55]-R[0:08:39]: Return=    -1.067, Steps=  68, Features = 81
  7654: E[0:02:57]-R[0:08:37]: Return=    -1.077, Steps=  78, Features = 81
  7731: E[0:02:59]-R[0:08:36]: Return=    -1.056, Steps=  57, Features = 81
  8024: E[0:03:06]-R[0:08:28]: Return=    -1.292, Steps= 293, Features = 81
  8165: E[0:03:09]-R[0:08:25]: Return=     -1.13, Steps= 131, Features = 81
  8294: E[0:03:12]-R[0:08:22]: Return=    -1.092, Steps=  93, Features = 81
  8359: E[0:03:13]-R[0:08:21]: Return=    -1.056, Steps=  57, Features = 81
  8529: E[0:03:17]-R[0:08:17]: Return=    -1.159, Steps= 160, Features = 81
  8606: E[0:03:19]-R[0:08:15]: Return=    -1.076, Steps=  77, Features = 81
  8684: E[0:03:21]-R[0:08:13]: Return=     0.943, Steps=  58, Features = 81
  8898: E[0:03:25]-R[0:08:07]: Return=     0.787, Steps= 214, Features = 81
  8984: E[0:03:27]-R[0:08:05]: Return=    -1.057, Steps=  58, Features = 81
  9000: >>> E[0:03:28]-R[0:08:05]: Return=     -1.03, Steps=51.12, Features = 81
  9067: E[0:03:29]-R[0:08:03]: Return=    -1.056, Steps=  57, Features = 81
  9207: E[0:03:32]-R[0:08:00]: Return=    -1.139, Steps= 140, Features = 81
  9320: E[0:03:35]-R[0:07:57]: Return=    -1.112, Steps= 113, Features = 81
